source_id	title_a	title_b	lang_gloss	date_start	date_end	Bib	Gomilet	Bog	Agiogr	Pov	Litur	Epi	Letop	Hron	Docum
1506	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1507	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1508	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1509	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1510	ДАИ II			1613	1645		+	+							
1511	ДАИ II			1613	1645		+	+							
1512	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1513	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1514	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1515	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1516	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1517	ДАИ II			1613	1645		+	+							
1518	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1519	ДАИ II			1613	1645		+	+							
1520	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1521	ДАИ II			1613	1645		+	+							
1522	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1523	ДАИ II			1613	1645		+	+							
1524	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1525	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1526	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1527	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1528	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1529	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1530	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1531	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1532	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1533	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1534	ДАИ II			1613	1645		+	+							
1535	ДАИ II			1613	1645		+	+							
1536	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1537	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1538	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1539	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1540	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1541	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1542	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1543	ДАИ II			1613	1645		+	+							
1544	ДАИ II			1613	1645		+	+							
1545	ДАИ II			1613	1645		+	+							
1546	ДАИ II			1613	1645		+	+							
1547	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1548	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1549	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1550	ДАИ II			1613	1645		+	+							
1551	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1552	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1553	ДАИ II			1613	1645		+	+							
1554	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1555	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1556	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1557	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1558	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1559	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1560	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1561	Выг.сб.			12	12	+			+						
1562	Выг.сб.			12	12	+			+						
1563	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1564	Выг.сб.			12	12	+			+						
1565	Выг.сб.			12	12	+			+						
1566	Выг.сб.			12	12	+			+						
1567	Выг.сб.			12	12	+			+						
1568	Ж.Нифонта			1219				греческий	+						
1569	Ж.Нифонта			1219				греческий	+						
1570	Выг.сб.			12	12	+			+						
1571	Выг.сб.			12	12	+			+						
1572	Выг.сб.			12	12	+			+						
1573	Ж.Нифонта			1219				греческий	+						
1574	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1575	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1576	Адр.П., Ж.Адр.П.			15					+						
1577	Выг.сб.			12	12	+			+						
1578	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1579	Выг.сб.			12	12	+			+						
1580	Ж.Нифонта			1219				греческий	+						
1581	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1582	Выг.сб.			12	12	+			+						
1583	Выг.сб.			12	12	+			+						
1584	Выг.сб.			12	12	+			+						
1585	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1586	Ж.Нифонта			1219				греческий	+						
1587	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1588	Выг.сб.			12	12	+			+						
1589	Ж.Нифонта			1219				греческий	+						
1590	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1591	Выг.сб.			12	12	+			+						
1592	Выг.сб.			12	12	+			+						
1593	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1594	Выг.сб.			12	12	+			+						
1595	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1596	Выг.сб.			12	12	+			+						
1597	Выг.сб.			12	12	+			+						
1598	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1599	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1600	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1601	Ж.Нифонта			1219				греческий	+						
1602	Выг.сб.			12	12	+			+						
1603	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1604	Выг.сб.			12	12	+			+						
1605	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1606	Авр.Ч., Ж.Авр.Чух.			15	15				+						
1607	Выг.сб.			12	12	+			+						
1608	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1609	Выг.сб.			12	12	+			+						
1610	Выг.сб.			12	12	+			+						
1611	Выг.сб.			12	12	+			+						
1612	Выг.сб.			12	12	+			+						
1613	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1614	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1615	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1616	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1617	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1618	Ал.Нв., Ж.Ал.Нев.			13	13				+						
